A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the smiling face,make.01,hospital visits,,Affirmative,"SHE 'S the smiling face who makes hospital visits not only bearable , but enjoyable , for hundreds of young patients at the Women 's and Children 's Hospital each year . "
children,visit.01,"Michael Rice Centre ,",,Affirmative,"Play therapist Chelsea Whyte 's job is to reduce the anxiety and stress levels of children who visit the hospital 's Michael Rice Centre , which cares for children with cancer and blood disorders . "
"Michael Rice Centre ,",care.01,for children with,,Affirmative,"Play therapist Chelsea Whyte 's job is to reduce the anxiety and stress levels of children who visit the hospital 's Michael Rice Centre , which cares for children with cancer and blood disorders . "
Play therapy,allow.01,children to express,,Affirmative,"Play therapy allows children to express their concerns and feelings , enhance their development and have fun , she said . "
Children 's,express.01,their concerns and feelings,,Affirmative,"Play therapy allows children to express their concerns and feelings , enhance their development and have fun , she said . "
Children 's,enhance.01,their development,,Affirmative,"Play therapy allows children to express their concerns and feelings , enhance their development and have fun , she said . "
Children 's,have.03,fun,,Affirmative,"Play therapy allows children to express their concerns and feelings , enhance their development and have fun , she said . "
Chelsea Whyte 's,say.01,therapy allows,,Affirmative,"Play therapy allows children to express their concerns and feelings , enhance their development and have fun , she said . "
Heroes Foundation,provided.01,"$ 25,000",towards,Affirmative,"The Little Heroes Foundation has provided $ 25,000 towards Ms Whyte 's annual salary , ensuring she continues to make a world of difference to children such as five - year - old Jade Evans . "
Heroes Foundation,ensure.01,she continues,,Affirmative,"The Little Heroes Foundation has provided $ 25,000 towards Ms Whyte 's annual salary , ensuring she continues to make a world of difference to children such as five - year - old Jade Evans . "
Ms Whyte 's,continue.01,to make,,Affirmative,"The Little Heroes Foundation has provided $ 25,000 towards Ms Whyte 's annual salary , ensuring she continues to make a world of difference to children such as five - year - old Jade Evans . "
Ms Whyte 's,make.01,a world of difference to children,,Affirmative,"The Little Heroes Foundation has provided $ 25,000 towards Ms Whyte 's annual salary , ensuring she continues to make a world of difference to children such as five - year - old Jade Evans . "
"Jade , now five",battle.01,complications including,,Affirmative,"Jade was diagnosed with a neurological disorder called Neurofibromatosis Type 1 , when she was aged just two and has battled complications including a brain tumour and eye tumour in the years since . "
"Her mother ,",say.01,having,,Affirmative,"Her mother , Lisa Raschella , said having the support of Ms Whyte had been crucial in helping Jade , now five , get tough times that belie her young age . "
tough times,belie.01,her young age,,Affirmative,"Her mother , Lisa Raschella , said having the support of Ms Whyte had been crucial in helping Jade , now five , get tough times that belie her young age . "
someone there,cheer.02,"Her mother , Lisa Raschella",,Affirmative,"Having someone there to constantly cheer her up , to play with her , to paint with her , it made such a huge difference , Ms Raschella said . "
the support of Ms Whyte,make.01,such a huge difference,,Affirmative,"Having someone there to constantly cheer her up , to play with her , to paint with her , it made such a huge difference , Ms Raschella said . "
Ms Raschella,say.01,", it made",,Affirmative,"Having someone there to constantly cheer her up , to play with her , to paint with her , it made such a huge difference , Ms Raschella said . "
executive Coralie Pratt,say.01,"process is traumatic , seeing",,Affirmative,"Little Heroes Foundation chief executive Coralie Pratt said while the treatment process is traumatic , seeing Ms Whyte gave children something to look forward to at hospital . "
the treatment process,see.01,Whyte gave children something,,Affirmative,"Little Heroes Foundation chief executive Coralie Pratt said while the treatment process is traumatic , seeing Ms Whyte gave children something to look forward to at hospital . "
Ms Whyte 's,give.01,something,children,Affirmative,"Little Heroes Foundation chief executive Coralie Pratt said while the treatment process is traumatic , seeing Ms Whyte gave children something to look forward to at hospital . "
Children 's,look.01,at hospital,,Affirmative,"Little Heroes Foundation chief executive Coralie Pratt said while the treatment process is traumatic , seeing Ms Whyte gave children something to look forward to at hospital . "
Chelsea Whyte 's,have.03,an incredible ability,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
kids,overcome.01,their fears of treatment,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
a charity,assist.01,ill children and,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
Children 's,support.01,the work,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
Chelsea Whyte 's,do.02,the work,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
Chelsea Whyte 's,say.01,Chelsea has,,Affirmative,"Chelsea has an incredible ability to help kids overcome their fears of treatment and as a charity that assists seriously ill children and their families , we are incredibly proud to support the work she does , she said . "
News.com.au 's Privacy Policy,explain.01,", we may not be able",,Affirmative,"It explains that if you do not provide us with information we have requested from you , we may not be able to provide you with the goods and services you require . "
you,provide.01,with information,us,Affirmative,"It explains that if you do not provide us with information we have requested from you , we may not be able to provide you with the goods and services you require . "
kids,request.01,information,from you,Affirmative,"It explains that if you do not provide us with information we have requested from you , we may not be able to provide you with the goods and services you require . "
kids,provide.01,with,you,Affirmative,"It explains that if you do not provide us with information we have requested from you , we may not be able to provide you with the goods and services you require . "
you,require.01,the goods and services,,Affirmative,"It explains that if you do not provide us with information we have requested from you , we may not be able to provide you with the goods and services you require . "
News.com.au 's Privacy Policy,explain.01,how you can access or seek correction of,,Affirmative,"It also explains how you can access or seek correction of your personal information , how you can complain about a breach of the Australian Privacy Principles and how we will deal with a complaint of that nature . "
you,seek.01,correction of,,Affirmative,"It also explains how you can access or seek correction of your personal information , how you can complain about a breach of the Australian Privacy Principles and how we will deal with a complaint of that nature . "
you,complain.01,about,,Affirmative,"It also explains how you can access or seek correction of your personal information , how you can complain about a breach of the Australian Privacy Principles and how we will deal with a complaint of that nature . "
kids,deal.01,with,,Affirmative,"It also explains how you can access or seek correction of your personal information , how you can complain about a breach of the Australian Privacy Principles and how we will deal with a complaint of that nature . "
